distance,std,rssi,correlation,invalid_01,invalid_020;
0.121262;-9;0.734757;0.000000;0.000000
"1,5;0.095581;-55;0.852972;0.000000;0.000000"
"1,5;0.011934;-55;0.946321;0.000000;0.000000"
"1,5;0.017294;-55;0.936789;0.000000;0.000000"
"1,5;0.009215;-55;0.968933;0.000000;0.000000"
"1,5;0.015571;-55;0.961065;0.000000;0.000000"
"1,5;0.036642;-55;0.945133;0.000000;0.000000"
"1,5;0.006832;-54;0.952585;0.000000;0.000000"
"1,5;0.074267;-55;0.890915;0.000000;0.000000"
"1,5;0.011446;-54;0.963351;0.000000;0.000000"
"1,5;0.005574;-55;0.971690;0.000000;0.000000"
"1,5;0.036063;-55;0.937822;0.000000;0.000000"
"1,5;0.017807;-54;0.947543;0.000000;0.000000"
"1,5;0.032388;-55;0.919480;0.000000;0.000000"
"1,5;0.031702;-56;0.934795;0.000000;0.000000"
"1,5;0.018856;-55;0.928057;0.000000;0.000000"
"1,5;0.014331;-54;0.936953;0.000000;0.000000"
"1,5;0.006239;-55;0.973186;0.000000;0.000000"
"1,5;0.010997;-55;0.944785;0.000000;0.000000"
"1,5;0.011833;-54;0.942960;0.000000;0.000000"
"1,5;0.007963;-54;0.957265;0.000000;0.000000"
"1,5;0.005553;-54;0.972105;0.000000;0.000000"
"1,75;0.091773;-63;0.734941;0.000000;0.000000"
"1,75;0.431625;-62;0.234702;0.000000;0.000000"
"1,75;0.105952;-64;0.773731;0.000000;0.000000"
"1,75;0.265706;-63;0.502540;0.000000;0.000000"
"1,75;0.150153;-63;0.681567;0.000000;0.000000"
"1,75;0.092326;-61;0.712190;0.000000;0.000000"
"1,75;0.096000;-60;0.597080;0.000000;0.000000"
"1,75;0.095453;-60;0.687566;0.000000;0.000000"
"1,75;0.079951;-61;0.753205;0.000000;0.000000"
"1,75;0.110919;-61;0.686841;0.000000;0.000000"
"1,75;0.094533;-62;0.690437;0.000000;0.000000"
"1,75;0.122211;-62;0.645778;0.000000;0.000000"
"1,75;0.100439;-61;0.697989;0.000000;0.000000"
"1,75;0.113769;-61;0.686343;0.000000;0.000000"
"1,75;0.121221;-62;0.649700;0.000000;0.000000"
"1,75;0.061218;-60;0.826709;0.000000;0.000000"
"1,75;0.101880;-61;0.721328;0.000000;0.000000"
